name,source,ra,dec,l,b,theta_D,d_mpc,R_Thales
NGC4597,CF3,190.05374999999998,-5.7988888888888885,297.80730241561764,56.96114951704802,32.379586060936866,10.38,12.291023269995208
2MRS_193.95+4.30,2MRS,193.95395,4.30412,305.74363264161315,67.15196656515751,42.15449697449876,10.397260273972602,14.024996270713581
ES440-046,CF3,181.17166666666668,-28.116388888888892,290.5408312062177,33.62797534373232,15.251439798828084,10.57,10.95585748070211
2MRS_189.62+4.32,2MRS,189.61842,4.31915,294.6422479751454,66.98200692948635,42.47432700775149,10.684931506849315,14.486471698937507
2MRS_191.27+3.06,2MRS,191.27489,3.05571,299.05737976452116,65.87976539767475,41.053702270511266,10.753424657534246,14.260052266569968
NGC4532,CF3,188.58083333333335,6.4675,291.024960008845,68.94266596227249,44.732855428105196,10.81,15.216864839687702
2MRS_208.36+5.21,2MRS,208.36058,5.20777,339.65276057447204,63.568023956400324,44.74022583155678,11.04109589041096,15.54415170302667
ESO440-044,CF3,180.69166666666666,-29.093055555555555,290.306040285051,32.582614697023445,14.921518844468658,11.27,11.663292780343202
NGC004594,CF3,189.9975,-11.622777777777777,298.4603394365135,51.14955151617693,26.626433587397845,11.27,12.607003386663155
2MRS_203.70-45.55,2MRS,203.69673,-45.54744,310.8317775698921,16.658337665035866,9.96063379309152,11.342465753424657,11.51604913126508
N4802,CF3,193.95666666666665,-12.055277777777778,304.62982766717965,50.80200306908479,25.80357663311633,11.59,12.873606718166279
UGC07819,CF3,189.82833333333335,-0.5319444444444444,296.42493468598786,62.18652439129428,37.63236221774808,11.64,14.697992425322676
NGC04818,CF3,194.20375,-8.525,305.2117726539268,54.32294567611524,29.323368082726564,11.64,13.350620241238667
2MRS_190.10+3.12,2MRS,190.09579,3.11771,296.17527967368113,65.84432990578829,41.22747668909417,11.67123287671233,15.518214722672226
NGC006221,CF3,253.19208333333333,-59.217777777777776,329.7377870264913,-9.57278689429425,42.149666409232765,11.86,15.996883535516508
