glon,glat,dist_mpc,theta_D
346.84,-35.29,81.2,72.12277126033858
12.07,-23.04,80.9,80.82008643235272
156.84,-62.59,79.8,136.85407027806744
272.48,-76.87,78.1,103.76691783240014
134.86,-62.84,76.0,141.59286393123006
322.64,34.26,74.8,17.871493699220604
172.47,-60.92,73.0,131.8441449954671
311.79,32.38,61.3,9.478407014776513
256.73,27.4,61.1,43.107713669871806
329.82,-15.05,61.0,46.79270413120486
190.62,-53.2,60.8,124.22924035393586
111.39,-36.04,59.4,163.92816745457569
286.44,-56.9,58.2,83.38714575681445
89.74,-43.35,57.2,145.91872655315416
321.25,-15.24,56.7,43.2466200661431
140.01,-59.99,56.2,143.49318891265796
287.41,11.33,54.7,21.54600779307639
339.9,34.35,54.6,31.554546006974963
210.09,-29.72,50.2,106.07442397873501
152.45,-43.34,50.1,151.04431097489993
153.13,-35.73,47.9,153.58717609943258
92.68,47.0,47.2,102.31334482684373
271.82,24.49,46.2,30.061753995408942
306.06,32.57,45.7,7.626635932587567
329.13,-42.03,44.5,70.64470847714014
326.33,-44.54,41.4,72.22352934414342
